delta\rho,0,0.02,0.05,0.1,0.2
0,0.9833,0.9833,0.9833,0.9667,0.9333
0.02,0.9333,0.9667,0.9667,0.9500,0.9333
0.05,0.8500,0.8833,0.8833,0.9333,0.9333
0.1,0.3667,0.5167,0.8167,0.8500,0.8833
0.2,0.0833,0.1667,0.4333,0.6333,0.8167
